Time resolution is 1 ps
Time=0 | Hour=0 Min=0 Sec=0
Time=15000 | Hour=0 Min=0 Sec=1
Time=25000 | Hour=0 Min=0 Sec=2
Time=35000 | Hour=0 Min=0 Sec=3
Time=45000 | Hour=0 Min=0 Sec=4
Time=55000 | Hour=0 Min=0 Sec=5
Time=65000 | Hour=0 Min=0 Sec=6
Time=75000 | Hour=0 Min=0 Sec=7
Time=85000 | Hour=0 Min=0 Sec=8
Time=95000 | Hour=0 Min=0 Sec=9
Time=105000 | Hour=0 Min=0 Sec=10
Time=115000 | Hour=0 Min=0 Sec=11
Time=125000 | Hour=0 Min=0 Sec=12
Time=135000 | Hour=0 Min=0 Sec=13
Time=145000 | Hour=0 Min=0 Sec=14
Time=155000 | Hour=0 Min=0 Sec=15
Time=165000 | Hour=0 Min=0 Sec=16
Time=175000 | Hour=0 Min=0 Sec=17
Time=185000 | Hour=0 Min=0 Sec=18
Time=195000 | Hour=0 Min=0 Sec=19
Time=205000 | Hour=0 Min=0 Sec=20
Time=215000 | Hour=0 Min=0 Sec=21
Time=225000 | Hour=0 Min=0 Sec=22
Time=235000 | Hour=0 Min=0 Sec=23
Time=245000 | Hour=0 Min=0 Sec=24
Time=255000 | Hour=0 Min=0 Sec=25
Time=265000 | Hour=0 Min=0 Sec=26
Time=275000 | Hour=0 Min=0 Sec=27
Time=285000 | Hour=0 Min=0 Sec=28
Time=295000 | Hour=0 Min=0 Sec=29
Time=305000 | Hour=0 Min=0 Sec=30
Time=315000 | Hour=0 Min=0 Sec=31
Time=325000 | Hour=0 Min=0 Sec=32
Time=335000 | Hour=0 Min=0 Sec=33
Time=345000 | Hour=0 Min=0 Sec=34
Time=355000 | Hour=0 Min=0 Sec=35
Time=365000 | Hour=0 Min=0 Sec=36
Time=375000 | Hour=0 Min=0 Sec=37
Time=385000 | Hour=0 Min=0 Sec=38
Time=395000 | Hour=0 Min=0 Sec=39
Time=405000 | Hour=0 Min=0 Sec=40
Time=415000 | Hour=0 Min=0 Sec=41
Time=425000 | Hour=0 Min=0 Sec=42
Time=435000 | Hour=0 Min=0 Sec=43
Time=445000 | Hour=0 Min=0 Sec=44
Time=455000 | Hour=0 Min=0 Sec=45
Time=465000 | Hour=0 Min=0 Sec=46
Time=475000 | Hour=0 Min=0 Sec=47
Time=485000 | Hour=0 Min=0 Sec=48
Time=495000 | Hour=0 Min=0 Sec=49
Time=505000 | Hour=0 Min=0 Sec=50
Time=515000 | Hour=0 Min=0 Sec=51
Time=525000 | Hour=0 Min=0 Sec=52
Time=535000 | Hour=0 Min=0 Sec=53
Time=545000 | Hour=0 Min=0 Sec=54
Time=555000 | Hour=0 Min=0 Sec=55
Time=565000 | Hour=0 Min=0 Sec=56
Time=575000 | Hour=0 Min=0 Sec=57
Time=585000 | Hour=0 Min=0 Sec=58
Time=595000 | Hour=0 Min=0 Sec=59
Time=605000 | Hour=0 Min=0 Sec=0
Time=615000 | Hour=0 Min=1 Sec=1
Time=625000 | Hour=0 Min=1 Sec=2
Time=635000 | Hour=0 Min=1 Sec=3
Time=645000 | Hour=0 Min=1 Sec=4
Time=655000 | Hour=0 Min=1 Sec=5
Time=665000 | Hour=0 Min=1 Sec=6
Time=675000 | Hour=0 Min=1 Sec=7
Time=685000 | Hour=0 Min=1 Sec=8
Time=695000 | Hour=0 Min=1 Sec=9
Time=705000 | Hour=0 Min=1 Sec=10
Time=715000 | Hour=0 Min=1 Sec=11
Time=725000 | Hour=0 Min=1 Sec=12
Time=735000 | Hour=0 Min=1 Sec=13
Time=745000 | Hour=0 Min=1 Sec=14
Time=755000 | Hour=0 Min=1 Sec=15
Time=765000 | Hour=0 Min=1 Sec=16
Time=775000 | Hour=0 Min=1 Sec=17
Time=785000 | Hour=0 Min=1 Sec=18
Time=795000 | Hour=0 Min=1 Sec=19
Time=805000 | Hour=0 Min=1 Sec=20
Time=815000 | Hour=0 Min=1 Sec=21
Time=825000 | Hour=0 Min=1 Sec=22
Time=835000 | Hour=0 Min=1 Sec=23
Time=845000 | Hour=0 Min=1 Sec=24
Time=855000 | Hour=0 Min=1 Sec=25
Time=865000 | Hour=0 Min=1 Sec=26
Time=875000 | Hour=0 Min=1 Sec=27
Time=885000 | Hour=0 Min=1 Sec=28
Time=895000 | Hour=0 Min=1 Sec=29
Time=905000 | Hour=0 Min=1 Sec=30
Time=915000 | Hour=0 Min=1 Sec=31
Time=925000 | Hour=0 Min=1 Sec=32
Time=935000 | Hour=0 Min=1 Sec=33
Time=945000 | Hour=0 Min=1 Sec=34
Time=955000 | Hour=0 Min=1 Sec=35
Time=965000 | Hour=0 Min=1 Sec=36
Time=975000 | Hour=0 Min=1 Sec=37
Time=985000 | Hour=0 Min=1 Sec=38
Time=995000 | Hour=0 Min=1 Sec=39
INFO: xsimkernel Simulation Memory Usage: 281084 KB (Peak: 338356 KB), Simulation CPU Usage: 1210 ms
